time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-09-10 13:00:00,4.25807,4.26052,4.25492,4.26032,2394,240,0,2025-09-10,Wednesday
2025-09-10 14:00:00,4.26022,4.26202,4.25872,4.26157,1411,240,0,2025-09-10,Wednesday
2025-09-10 15:00:00,4.26157,4.26216,4.26029,4.26052,631,240,0,2025-09-10,Wednesday
2025-09-10 16:00:00,4.26052,4.26125,4.26032,4.26042,300,266,0,2025-09-10,Wednesday
2025-09-10 17:00:00,4.26042,4.26082,4.26032,4.26052,381,266,0,2025-09-10,Wednesday
2025-09-10 18:00:00,4.26052,4.2612,4.2602,4.26055,407,311,0,2025-09-10,Wednesday
2025-09-10 19:00:00,4.26055,4.26135,4.25988,4.26027,528,330,0,2025-09-10,Wednesday
2025-09-10 20:00:00,4.25507,4.25947,4.25507,4.2591,107,505,0,2025-09-10,Wednesday
2025-09-10 21:00:00,4.25917,4.26057,4.25783,4.25927,170,285,0,2025-09-10,Wednesday
2025-09-10 22:00:00,4.25927,4.26052,4.25717,4.25843,253,326,0,2025-09-10,Wednesday
2025-09-10 23:00:00,4.25912,4.25992,4.25744,4.25946,338,305,0,2025-09-10,Wednesday
2025-09-11 00:00:00,4.25946,4.25992,4.25724,4.25945,314,307,0,2025-09-11,Thursday
2025-09-11 01:00:00,4.25945,4.26007,4.25713,4.26,240,295,0,2025-09-11,Thursday
2025-09-11 02:00:00,4.26,4.26032,4.25753,4.25784,338,281,0,2025-09-11,Thursday
2025-09-11 03:00:00,4.25785,4.26032,4.25766,4.26008,522,311,0,2025-09-11,Thursday
2025-09-11 04:00:00,4.26008,4.26212,4.25955,4.26207,171,268,0,2025-09-11,Thursday
2025-09-11 05:00:00,4.2619299999999996,4.26562,4.2613199999999996,4.26552,978,240,0,2025-09-11,Thursday
2025-09-11 06:00:00,4.26562,4.26612,4.26392,4.26472,707,240,0,2025-09-11,Thursday
2025-09-11 07:00:00,4.26472,4.2668,4.25982,4.26112,788,240,0,2025-09-11,Thursday
2025-09-11 08:00:00,4.26112,4.26592,4.26112,4.26562,908,245,0,2025-09-11,Thursday
2025-09-11 09:00:00,4.26562,4.26702,4.26552,4.26582,775,246,0,2025-09-11,Thursday
2025-09-11 10:00:00,4.26572,4.26622,4.26412,4.26432,520,246,0,2025-09-11,Thursday
2025-09-11 11:00:00,4.26412,4.2648,4.25806,4.26092,1966,240,0,2025-09-11,Thursday
2025-09-11 12:00:00,4.26092,4.26232,4.25682,4.25812,1436,246,0,2025-09-11,Thursday
2025-09-11 13:00:00,4.25802,4.25872,4.25342,4.25392,1796,240,0,2025-09-11,Thursday
2025-09-11 14:00:00,4.25392,4.25542,4.25312,4.25312,1533,246,0,2025-09-11,Thursday
2025-09-11 15:00:00,4.25312,4.25507,4.25282,4.25452,1184,261,0,2025-09-11,Thursday
2025-09-11 16:00:00,4.25452,4.25518,4.25329,4.25329,1041,255,0,2025-09-11,Thursday
2025-09-11 17:00:00,4.25328,4.25382,4.25321,4.25322,347,246,0,2025-09-11,Thursday
2025-09-11 18:00:00,4.25322,4.25322,4.25198,4.2528,377,266,0,2025-09-11,Thursday
2025-09-11 19:00:00,4.2528,4.253,4.25236,4.25238,277,310,0,2025-09-11,Thursday
2025-09-11 20:00:00,4.2513,4.25287,4.25059,4.25237,72,425,0,2025-09-11,Thursday
2025-09-11 21:00:00,4.25276,4.25357,4.25114,4.25247,210,320,0,2025-09-11,Thursday
2025-09-11 22:00:00,4.25207,4.25392,4.25154,4.25197,124,306,0,2025-09-11,Thursday
2025-09-11 23:00:00,4.25204,4.25272,4.24993,4.25204,301,296,0,2025-09-11,Thursday
2025-09-12 00:00:00,4.25204,4.25262,4.25022,4.25192,257,306,0,2025-09-12,Friday
2025-09-12 01:00:00,4.25192,4.25282,4.25005,4.25243,154,326,0,2025-09-12,Friday
2025-09-12 02:00:00,4.25243,4.25272,4.25048,4.25212,124,356,0,2025-09-12,Friday
2025-09-12 03:00:00,4.25207,4.25262,4.2498,4.25212,149,316,0,2025-09-12,Friday
2025-09-12 04:00:00,4.25212,4.25307,4.24998,4.25222,297,281,0,2025-09-12,Friday
2025-09-12 05:00:00,4.25222,4.2540700000000005,4.25062,4.25202,1045,256,0,2025-09-12,Friday
2025-09-12 06:00:00,4.25212,4.25507,4.24902,4.25312,1491,240,0,2025-09-12,Friday
2025-09-12 07:00:00,4.25312,4.25931,4.25302,4.2571200000000005,968,240,0,2025-09-12,Friday
2025-09-12 08:00:00,4.2571200000000005,4.25862,4.25582,4.25692,879,240,0,2025-09-12,Friday
2025-09-12 09:00:00,4.25692,4.25722,4.25122,4.25152,855,251,0,2025-09-12,Friday
2025-09-12 10:00:00,4.25152,4.25592,4.25072,4.25422,1007,240,0,2025-09-12,Friday
2025-09-12 11:00:00,4.25422,4.25772,4.25332,4.25362,1455,240,0,2025-09-12,Friday
2025-09-12 12:00:00,4.25362,4.25672,4.25322,4.25562,1218,240,0,2025-09-12,Friday
2025-09-12 13:00:00,4.25592,4.25612,4.25192,4.25282,1923,246,0,2025-09-12,Friday
2025-09-12 14:00:00,4.25282,4.25432,4.25242,4.25382,913,256,0,2025-09-12,Friday
2025-09-12 15:00:00,4.25392,4.25562,4.25322,4.25332,592,246,0,2025-09-12,Friday
2025-09-12 16:00:00,4.25322,4.25322,4.2514199999999995,4.25262,291,266,0,2025-09-12,Friday
2025-09-12 17:00:00,4.25272,4.25332,4.25172,4.25307,367,254,0,2025-09-12,Friday
2025-09-12 18:00:00,4.25307,4.2531,4.2516,4.2531,227,261,0,2025-09-12,Friday
2025-09-12 19:00:00,4.2531,4.25352,4.2504,4.2513,331,300,0,2025-09-12,Friday
2025-09-14 20:00:00,4.2431,4.25347,4.24077,4.25177,269,767,0,2025-09-14,Sunday
